LocationID,Location,Latitude,Longitude,Cxq,Aeae,Aealb
1,Anse du Hainault,18.48516,-74.45168,1,1,1
2,Anse-a-Veau,18.5011,-73.3449,1,1,1
3,Aquin,18.28333,-73.4,1,1,1
4,Arcahiae,18.76932,-72.51037,1,1,1
5,"Artibonite Valley, 10 villages",19.13933,-72.511246,1,1,1
6,Bas Miton,18.53441667,-72.63672222,1,1,1
7,Bassin Bleu,19.78346,-72.80206,1,1,1
8,Belladere,18.86609,-71.76198,1,1,1
9,Bethel City,18.51622222,-72.55702778,1,1,1
10,Bois Grd Riviere,18.55663889,-72.5545,1,1,1
11,C.Ville,18.52447222,-72.555,1,1,1
12,Camp Perrin,18.32667,-73.86268,1,1,1
13,Cap Haitien,19.75938,-72.19815,1,1,1
14,Carrefour,18.53333,-72.4,1,1,1
15,Cayes Jacmel,18.23073,-72.39417,1,1,1
16,Chatule,18.52447222,-72.555,1,1,1
17,Corail,18.56585,-73.89464,1,1,1
18,Croix des Bouquets,18.57512,-72.22302,1,1,1
19,Dajabon: Dajabon By The Rio Massacre,19.5487,-71.71182,1,0,0
20,Darbonne,18.46094444,-72.65405556,1,1,1
21,Derriere Rac,18.53883333,-72.53266667,1,1,1
22,Ennery,19.48333,-72.48333,1,1,1
23,Flon,18.53663889,-72.56677778,1,1,1
24,Fort Liberte,19.66273,-71.83798,1,1,1
25,Ganthier,18.53094,-72.06491,1,1,1
26,Grand Goave,18.4262,-72.76653,1,1,1
27,Hinche,19.15,-72.01667,1,1,1
28,Jacmel,18.23427,-72.53539,1,1,1
29,Jean Jean A,18.47417362,-72.54289028,1,1,1
30,Jeremie,18.65,-74.11667,1,1,1
31,La salle A,18.52258333,-72.38786111,1,1,1
32,La salle B,18.52266667,-72.38786111,1,1,1
33,La salle C,18.52275,-72.56066667,1,1,1
34,La salle D,18.5235,-72.56319444,1,0,1
35,Leogane,18.50959,-72.63147,1,1,1
36,Les Cayes,18.19331,-73.74601,1,1,1
37,L'Estere,19.33333,-72.66667,1,1,1
38,Marcos,19.51885,-72.64002,1,1,1
39,Marechale B,18.51727778,-72.55541667,1,1,0
40,Marechale C,18.51788889,-72.55611111,1,1,1
41,Miragoane,18.44232,-73.08758,1,1,1
42,Mirebalais,18.83333,-72.10528,1,1,1
43,Momance,18.52811111,-72.56616667,1,1,1
44,Ounaminthe,19.54807,-71.72397,1,1,1
45,Petit Goave,18.42939,-72.86297,1,1,1
46,Port de Paix,19.9389,-72.83257,1,1,1
47,Port Salut,18.07639,-73.91667,1,1,1
48,Port-au-Prince,18.53917,-72.335,1,1,1
49,Quartier Morin,19.69667,-72.15694,1,1,1
50,Saint Marc,19.10819,-72.69379,1,1,1
51,Santo,18.53125,-72.53975,1,1,1
52,Sigueneau,18.51611111,-72.60211111,1,1,1
53,Thomazeau,18.65094,-72.09191,1,1,1
54,L'Asile,18.38245,-73.41404,1,1,1
55,Marechale A,18.51591667,-72.55547222,1,1,0
56,Port Au Prince: Deprez Reservoir,18.52806,-72.33044,1,1,0
57,Ti Boukan,18.49069444,-72.52511111,0,1,1
58,Ti Cousin A,18.46075,-72.64741667,1,1,1
59,Ti Cousin B,18.46077778,-72.64741667,1,1,1
60,Tros Cayman,19.26667,-72.65,1,1,1
61,Trou du Nord,19.61448,-72.02075,1,1,1
62,Verretes,19.05043,-72.46172,1,1,1
